city,country,reviewer,review_comments,review_title,streetaddr,score,name,reviewer_origin,post_date,postcode,scrapday
Kuala Lumpur,Malaysia,AriesExp,"Good:- Hotel called to inform the room is ready by the arrival time entered in the booking request- Made beautiful and surprise arrangement in the room for our anniversary. I just requested in the booking request for a room with nice view. - Fast check-in and check-out- Room is cleanImprovement:- Put more signages at the parking- Include more tips on parking at booking websites, such as park at Zone U or Premier (flat rate RM5/entry) and at the ""purple zone"" (near to Hotel entrance at G floor)- Card keys not always functioning well. Need a few attempts in the lift and room access.",Excellent service,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-09-13,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Stan L,"Rooms - big, nice and clean, however not much TV channels to choose from. Hotel service - very good, attentive, and always with a smile (from front desk, housekeeping to concierge) good jobLocation - very convenient for food, shopping, the midvalley mall just beside offers something for everyone. Location - taxi / cars, getting in and out the complex is a nightmare. A mini jam all around the mall area It take at least 30 mins to get or get out.","Nice rooms, clean, great service, great location, lousy traffic getting in and out of hotel",Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Singapore, Singapore",2016-09-12,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Robert K,"I personal feel that's a excellent 5 star hotel in this area. The hotel is linked with The Garden mall which is super convenient for shopping and dining. From check-in, stay and until check-out, with the super friendly staff service, that was excellent. The deluxe room was so comfortable and the bathroom was so huge. The room was well maintained and feel like new hotel. Breakfast are good, have a lot of choices. Overall experience was great. Good job to The Garden Hotel.",Excellent hotel,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Penang, Malaysia",2016-09-11,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,William S,"I personally want to thank the Housekeeping team starting with Sabrina, the housekeeper for the 22nd floor. I had some serious arthritic back problems addressed while on business and staying at the hotel. A bandage leaked and blood stained my sheets. Sabrina realized and saw that I was unable to walk.. She immediately made up my room, helped me, got me water, advised me that she would be working on the floor and that I should call if I needed help. Sabrina notified her manager, Marina who soon visited me, saw that I could barely get out of bed due to back & hip pain. She asked what she could do to help and brought in Suzana . Margaret also was notified and visited. As a traveler for over 20 years, there is nothing worse than being sick on the road. This team supported me, provided meals, water and a late check out. I am thankful for their services and will tell this story, praise and promote this hotel. There is no other place to stay in Kuala Lumpur.. Thank You.",Housekeeping helped me survive a torturous business trip!,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-09-09,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,NgaNguyen13,"Best one to stay, new hotel, 2 shopping malls so you can avoid KL bad traffic. Food court at shopping mall and restaurant. Convinient for our friends to pick us up. Staffs are friendly. and i enjoy my stay",best one,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,Ho Chi Minh,2016-09-08,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,jadles89,"We, a party of 6, had a fantastic stay at the residences for 3 nights. The location is second to none. It is footsteps to great shopping and dining facilities. The apartment is well configured, clean, spacious and exudes a sense of luxury. The kitchen is very functional with an adequate supply of appliances. The beds and pillows are very comfortable, and with good sound proofing this provides for an excellent night's rest after a long day of shopping!The staff are all very friendly and helpful. We will be back - highly recommended. (Wee family)",Best experience in KL,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Hong Kong, China",2016-09-04,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,gcfred,The place was good with friendly staff. The cost was reasonable. Rooms were large enough and bathrooms were very clean. Close to hundreds of shops so shopping was good. Train was not close by so would have to rely on taxis. Best to use Uber or grab a cab as cheaper.,Great stay,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Melbourne, Australia",2016-08-31,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Tony R,"We stayed for 11 days in 2 visits in July/August and found the experiences to be superb.Although difficult to highlight all arears The Reception Service, Club Room and Concierge were all outstanding and could not be helpful. We would stay there again and highly recommend the Hotel. So easy to get anywhere from there.",Holiday,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,Margaret River,2016-08-23,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Saskia_on_trip,"We stayed at this hotel and found it to be safe, well located in mid-valley city, with great service. We were fortunate enough to stay in one of the business executive rooms, meaning that we had access to the business lounge each day. This was well worth the extra expense. The only improvement would be the quality of restaurants available, we found the food to be average. That said, there are many food options close by for those who wish to venture out.",Would stay here again,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,,2016-08-22,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Ben G,"Great facilities, friendly staff and big variety at breakfast were standouts for me. For a 5 star ""grand hotel"" , it is slightly lacking in luxurious touches. Nonetheless a very pleasant stay. It has direct access to Garden Mall with all the high end brands.",Great hotel,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,,2016-08-20,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,HXZ_HZX,"Booked a deluxe room at the hotel via their website and it was seriously good valued for money. Corporate photos looked luxurious but I was somewhat skeptical based on the price. It turned out I was right. It wasn't as luxurious as what you see on their website.So pay for what you get. With that in mind, one would get good value for a stay here. The room was clean, modern but somewhat basic (eg no hot water kettle for coffee). The state of the room was excellent except for the bathtub. Everything looked renovated but the bathtub. Strange omission.The establishment could be classified as a family or budget business hotel. It was not within international hotel chain standards. But that would cost at least 1.5-2x more. The lobby was basis. There was a lounge available for business. But you could got to the malls for alternatives. On malls, this hotel was connected to a high end and mass market malls. Hence shopping and restaurants would be readily accessible.Just be realistic with what you get and paid for. International hotel chain standards it was not.",Website corporate photos looked better than actual. But valued for money,Lingkaran Syed Putra,3,The Gardens Hotel & Residences,Singapore,2016-08-19,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Somglom,I had short business trip to visit Kuala Lumpur. I chose this place because the reviews and location. It is great location close to shopping center and subway. I stayed at residential building with 2 bedrooms. It was big and full facilities.,Great hotel,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Bangkok, Thailand",2016-08-16,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Hóa N,"I stayed in the Gardens hotels several times. It is very impressive as clean hotel, friendly staff, good breakfast. My room was booked is deluxe room with the rate 415 MyR, breakfast included. If you need extra breakfast it is 35 RM chargeable. The hotel located not really near the KL center but very convenient for who like shopping as many shopping mall surrounding",Very clean hotel and friendly staffes,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,,2016-08-10,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Hamed A,"We booked executive room. The check in at the 29th floor was smooth and fast. We truly enjoyed our stay at the hotel. Free wifi, free laundry, free coffee, juices and snakes at afternoon and evening. The service was superb. If you like shopping there are two malls attached to the hotel include many international brands and a huge variety of restaurants and coffee shops. Highly recommend this hotel when visiting KL.",Excellent hotel,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-08-09,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Zex2016,"3rd time i m staying here, surprisingly they offer to me a suite room..wowww a great experience. My spouse and my kids very excited and really enjoy our vacation. Very clean room, very quite, very good customer service..and of course you can enjoy to shooping in the Midvalley Megamall.....i like to stay here",Amazing Hotel,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Kuching, Malaysia",2016-08-05,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Forevermui,"Attended business conference here. Like this modern hotel with good facilities, good customer service, strong WiFi connection. Excellent location with plenty of parking and reasonable parking rate (RM5 for whole day if you get your parking ticket validated). It also has easy access to public transport with a train station within 5 minutes walking distance. The buffet lunch at its The Spread Restaurant is really good, good variety, fresh and delicious.",Good Business Hotel,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Kuala Lumpur, Malaysia",2016-08-04,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Nick F,"Garden residence is our long time stay option in KL. The staff are welcoming and the rooms are comfortable and spacious. The location is exceptional. Close to Gardens and Midvalley malls there are plenty of amenities and F&B as well as shopping. This month with Cold Storage closing (replaced by Jaya which is not yet open) and Aeon being under renovation, the stay was the least convenient. But typically we have groceries right next to us as well as good coffee and plenty of interesting food. This is not so exciting but a very practical place to stay. I will stay there again.",Will always return,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"London, United Kingdom",2016-08-03,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Dane_BCA,Stayed at the Gardens around 5 times since the start of the year. All of those times the experience were all great. My colleagues and I always strongly recommended the Gardens to other people who plan to visit KL.Always a pleasure staying at the Gardens.,Excellent Hotel,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-08-02,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Reddot2016,"We have been regular guests to this hotel for 12 years, a few times a year. We travel as a family, the apartment style concept has everything we need. Generous floor space with living room, kitchen and bedrooms. Toilets are luxurious too. Very good free wifi connection. And you have EVERYTHING around you with TWO malls under your nose. The stuff has to be the main plus point. Amazing service!",Great hotel with amazing location!,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Shanghai, China",2016-08-01,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,DannyDublin24,"Located in Midvalley is an excellent option if in the area on work. Great service, excellent staff, spotless and modern. The malls beside offer excellent shopping options. Breakfast buffet is top class and onsite Taxi firm is very convenient",An excellent hotel,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,Dublin,2016-07-31,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Octagonal76,"The hotel is connected to a large shopping mall with plenty of food options. It is clean, the service is great, the rooms are large and room prices are very reasonable.We asked for a late check out on the day of departure and there was no problem. Stayed 2 nights and would return.",Nice hotel conveniently located,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Hong Kong, China",2016-07-30,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Kris_Chung,"This is my 2nd time staying in The Gardens Hotel. The room was clean, modern, and comfortable. The breakfast buffet had a good spread, quality and taste was good too. Definitely value for money The mall connecting The Gardens and Mid Valley is so huge that I didn't see the need to go to town for shopping or food. The rooms size is perfect for 2. But if you need to add an extra bed, then it becomes kind of cramped.",Great location & very nice room,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Singapore, Singapore",2016-07-27,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,KARSHIN C,"We stayed in the Residence side of the Hotel and the Suite has a mini kitchen. Spacious and elegantly furnished with a digital TV in the Lounge and in the Bedroom. You will feel the nice atmosphere the moment you are inside the room. We have a nice mini balcony if we needed some heat and humidity. Bathroom and amenities are adequate however no mouth wash or hair conditioner provided. We had some internet issues in the beginning of our stay but soon they were iron out. The air-conditioning is excellent keeping the room very comfortable. There is a ceiling fan provided if you wanted more air movement or just prefer the warm weather with a mild breeze. Breakfast at The Spread in Level 6 is an experience as the variety of food from the usual local to the Continental styles are abundance. You will need to stay at least 5 nights to be able to try them all. Imagine a mega shopping mall just next door to where you are staying. A shopping mall from most of the branded stores to the famous Isetan, Mark & Spencers and Robinsons to name a few and all other local brands. Telephones & respective phone provider & services are readily available within walking distance. Excellent choices and varieties of food are spread around all over the Mall Courts. Coffee Connoisseurs will find StarBucks, Dome, San Franicso Coffee and of course some local brands. Its truly a Megamall.",HOTEL WITH MEGAMALL NEXT DOOR,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Melbourne, Australia",2016-07-24,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,May O,"Excellent service! From the front desk to the housekeeping staff, everything were fluid. The housekeeping staff (on the 13th Floor) was very helpful. Everything in the bathroom were replenish with a few extras daily. Room was always clean. The staff at The Spread Restaurant made sure clients requests are met. During breakfast, for those clients who usually had freshly squeezed juice, a glass of the squeezed juice are on the table when you arrive. Everyone from the Director to the staff are courteous and polite. I had a wonderful time at this hotel. Thank you.",Exceptional Service and Great Location,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Melbourne, Australia",2016-07-24,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Orca118,"Service is impeccable. Prompt and polite.We stayed in their 2 bedroom suite.It comes with a full sized kitchen and living and dinning area.Wifi is good throughout the whole house. Compared to St Giles boulevard hotel, this wifi is so much better as it is auto log in each time u turn on your mobile phones.Location is prime. We will be switching from our usual Boulevtad hotel to this Gardens Residences in future when in KL, mid valley.","Good service, great location.",Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Singapore, Singapore",2016-07-24,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Akshath,"Good place, close to mall and train station. Food is good and has decent spread. Has good WiFi access with decent speed and is free.Mega mall is also next door. Easy to reach major tourist attractions in around 30m by taxi depending on traffic.","Nice place, comfy stay",Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-07-23,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Yanhan J,"Arrived on the 15th July 2016. We booked a 2 bedroom apartment for 2 nights. Stayed in room 1531. Room has a strong cigarette strench but other than that room was pleasant. Master bedroom's toilet was really nice! Had a pleasant short stay here in the residences as two shopping centres were just beside us! (the gardens and mid valley mall) and a lot of departments stores available in both malls as well! No doubt is a great stay, hotel rooms will probably need a renovation to keep up with times, but other than that all is fine. Staff at front desks, lobby were really friendly and helpful. Kudos to them. Will come back again for next visit.",Renovation,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,,2016-07-22,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,ChanML,"Have had multiple meetings at Gardens Hotel, must say meeting venue is good. On d food front I find d standard had dropped over the year. Staff was friendly and accommodating. The washrooms were below standard as dey were leaking and wet. Maintenance was really bad.",Good meeting venue but food is average,Lingkaran Syed Putra,3,The Gardens Hotel & Residences,Malaysia,2016-07-21,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,MaxManila,"In my first trip to Malaysia, schedule was tight from day 1, straight from the airport into long meetings. At the end of the day, I just wished to quickly check in, have a quick dinner and sleep. Luckily I was billeted in The Gardens, by St. Giles. Check-in was a breeze at 6pm, with the process done in a couple of minutes. Since the hotel is connected to a big mall, dinner choices are practically meters away from the hotel. (The best part is you need not worry about having a little too much to drink because, worst case, you can crawl your way back.)The deluxe room I occupied had the following basic and special features: large LCD TV, king-sized bed, plenty of pillows, walk-in closet inside the toilet and bath, and nice view of the city. Furnishings were alright. Very convenient place. Room cleanliness can be improved though as I noticed a small piece of trash, cotton buds and dirt by one side of the room near the curtains. The breakfast buffet provides a wide selection of food items which can surely help kickstart your day. Plenty of positive points at The Garden. This hotel is recommended to family and friends.",First Time at The Gardens,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Manila, Philippines",2016-07-19,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Yanti L,"we were check in by the other female staff because Tracy is still handling another customer.Till she finished and she noticed my husband name,She still remember my husband name which the last time we were there was seven months ago!What a good memory and warm service.Actually at our previous stay we also gave a good comment but i didnt mention her name last time.Hotel noted our request for a baby cot and Tracy also gave us a bigger corner room even the other staff already issued another room for us.Unfortunately my husband lose room keys and we need to pay for rm 30 each key.Room was clean.Location also unbeatable.",Five star for Tracy,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-07-14,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,sweetluthien,"My family booked a 2 bedroon apartment to celebrate my dad's birthday on 6-8 July 2016. The check in was smooth and quick eventhough it was peak season, staff were very polite. Upon check in, we found that the aircond in the apartment on the 8th floor were not working..called front office and they immediately sent the maintenance guy up. He was polite and helpful however problem could not be fixed so i requested to change apartment. As the hotel was full, we only managed to get our new apartment at 7pm but the staff were very apologetic and even asked the bell boy to help us shift to the new room. However, i think they should service their aircond regularly as the leak near the 8th floor lift was bad.",Nice rooms and great service,Lingkaran Syed Putra,3,The Gardens Hotel & Residences,Malaysia,2016-07-14,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Eka D,"We checked in on 23rd june until 25 th june. We love the room and the location. The hotel surprises us with birthday cake, a mug and litlle but meaningful birthday decor in the room. You guys are awesome! Definitely will come back again when visit KL",Awesome hotel and service!,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,,2016-07-10,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Lucas G,"During the June holidays, I came here with my Daughter to visit my Sister. Located in the center of KL, very convenient to get around. Very good place for shoppers and many varieties of food and shops within hotel premises. Friendly hotel concierge and staff upon checking in and we were surprised to receive a lovely cheesecake being the five time visit to the same hotel. Such a wonderful hotel and made my visit much more enjoyable. Room is clean and spacious, except traffic to go in and out is a bit chaotic. Overall is very good experience!",Very good hotel and location!!!,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,,2016-07-03,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,GodBlessMali,"Had to go to Kuala Lumpur for business and stayed at this magnificent hotel for a couple of nights. I do not have much to say except that the comfort of the hotel was top-notch. The room was very cleaned and the view was beautiful.Those who like spending money on holidays will not be disappointed as there are many luxury brands nearby as well as many restaurants. The only downside is that it was a little far away from the airport. It took around one hour to go there with some traffic, but this is definitely not enough to ruin this great experience.",A short stay in a great hotel,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Shanghai Region, China",2016-06-30,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,buttercity,Stayed in for one night on 25th June 2016. Chose the hotel because we plan to go shopping at The Gardens Mall and Mid Valley Megamall. We booked our room through Booking.com. Rate was RM407 er night p(excluding GST). Arrived and passed our car to valet service (it's RM20 per 24hr for Hotel guest). Check-in to our room at Level 23. We got the pool view. The room was spacious. Lots of compartment to store your stuffs. Bathroom was spacious too. The best part staying here? The access to the mall of course. The access to the mall is to the left of the hotel reception counter. You will find the Robinsons department store exactly next to the hotel-mall access. The security system is good whereby only hotel guest can enter the hotel lobby via card access between 10pm to 10am daily.,Outstanding Location for Shopping Addicts!,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Kuala Lumpur, Malaysia",2016-06-28,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Tamvoir,"Good location. But bad service, every request had to be repeated and took several phone calls. Inattentive staff...Repeat questions No idea on so many levels....Located above 3 shopping malls catering for all tastes and styles....Dissappointing experience... I will not be coming back.",They have no idea about Service!,Lingkaran Syed Putra,2,The Gardens Hotel & Residences,"Sydney, Australia",2016-06-28,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,Baking_Love,"Be forewarned if you're driving and trying to park, directional way finder is non-existent. Shared parking with the mall. And if you're not from this region and arrived after 10 pm and driving, forget about trying to enter the lobby upon parking. Double whammy! Buzzer doesn't work and you'll be stuck outside by the mall area. We stayed here in March 2016, we highlighted these challenges to the manager on duty then, sad to say, three months after, nothing has changed. We were hoping the hotel management would've taken steps to rectify these basic challenges. How disappointing. Needless to say, return to stay no more. Great local with poor planning and definitely no synergy between hotel and mall management.",Dismay Experience,Lingkaran Syed Putra,2,The Gardens Hotel & Residences,Malaysia,2016-06-27,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,DSMHuang,"This is our choice 5 star hotel whenever we visit KL for a short getaway. It has good spread of breakfast buffet at The Spread restaurant at RM25 instead of usual RM60. A good-sized gym and swimming pool for guests' complimentary use.It is situated inside/beside mega-sized The Gardens/Mid-Valley shopping malls w anchor tenants like Robinsons, Aeon Jusco, Isetan, Metrojaya, etc. Together there are two cinemas w more than 20 screens, hundreds of speciality shops and numerous restaurants/eateries to choose from. Most of the time, we just park our car there upon arrival in KL, spend 3D2N there, till its time to check out and go home. Strongly recommended.",Perfect getaway hotel in KL,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Singapore, Singapore",2016-06-26,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,bibfion75,"The good - 1)My sister has book an apartment with 2 rooms. In each room there's a toilet.2)Apartment is clean3)Bedrooms are very spacious.4)The hotel is in the shopping mall.5)House keeping is very well done, staff are friendly.The bad - 1)Main door cannot be lock, need to know the tactics to get it lock.2)Toilet accessories are rusty, shower head cracked once turn on the water and need to call for replacement.",Old Hotel that needs renovation,Lingkaran Syed Putra,3,The Gardens Hotel & Residences,Singapore,2016-06-21,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,BenGL_83,Stayed here on several occasions and I've never been let down. Great room and buffet breakfast. Lovely spa. Connected to Gardens Mall and just across is Midvalley mall which caters to all my shopping needs.,Best Hotel in Midvalley,Lingkaran Syed Putra,5,The Gardens Hotel & Residences,"Penang Island, Malaysia",2016-06-17,59200,2016-10-08 22:19
Kuala Lumpur,Malaysia,krace168,"The first thing you need to know about the two bedroom apartment at the Gardens Residences (not the hotel) - before you book it - is that the beds in the ""twin"" room are single beds. They are not really meant to be for two people. It's a slightly oversized single bed. That room is also very small.The other room is a decent size with a King sized bed with room for a rollaway bed, which we did ask for. Once said bed is put in there, the room becomes very tight.There aren't a lot of well situated power outlets for charging your phone. I had to unplug the bedside lamp to charge my phone near me. There is one multi-plug outlet to accommodate any kind of plug but that's about it. There was one that I used to charge my tablet in the closet (the one for the iron).The kitchenette is very convenient and while we didn't use the stove, we made full use of the microwave, toaster oven and fridge. The overhead fan didn't work and it didn't bother us enough to ask them to fix it.Bathrooms are en suite and very nice. Watch for the slightly different level of floor between main section (sink) and the shower/tub.Otherwise, everything seemed convenient. There is even a way to exit to the mall without going outside, from the 6th floor, by the restaurant - Sage. All this is very nice for shopping and coming back to the room. The Residences side seems very spare - the lobby is modest and occupancy seems low. The hallways are warm, but that shouldn't bother you much.",2 bedroom apartment near Mid Valley Mall,Lingkaran Syed Putra,4,The Gardens Hotel & Residences,"Saint Louis, Missouri",2016-06-15,59200,2016-10-08 22:19
