city,review_title,reviewer,reviewer_origin,scrapday,postcode,streetaddr,post_date,country,review_comments,score,name
Kuala Lumpur,"Location convinience, room too small",Azizah O,,2016/10/08 22:16:48,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-24,Malaysia,"I've been stay for bussiness trip, the location is recommended for busy time, shopping mall in walking distance, public transport easy to find, local food restaurant just close by. However room size is too small compare with its price, amenities is standard, breakfast is OK.",3,Cititel Mid Valley
Kuala Lumpur,Good Location & Service but Small Room,FEEDBACKS2014,"Kuching, Malaysia",2016/10/08 22:16:48,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-23,Malaysia,"I am happy with the hotel location, breakfast, service and common facilities. The only shortcoming is the small room. The room TV is small too locating at a corner of the room or 45 degrees from the bed direction, as a result I suffered neck ache after watching TV from the bed for about 1-2 hours.",3,Cititel Mid Valley
Kuala Lumpur,Great location,damian4575,"Penang Island, Malaysia",2016/10/08 22:16:48,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-23,Malaysia,"The overall experience was great with my one night stay here. Despite the room being a little bit small, it was very clean and comfortable. The lobby connects to Mid Valley Megamall and thus is very convenient for shoppers and to get food.",4,Cititel Mid Valley
Kuala Lumpur,"Helpful staff, convenient location",Padresogno,"Sydney, Australia",2016/10/08 22:16:48,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-23,Malaysia,"All staff at the hotel are friendly and helpful. Furniture and amenities are in need of a facelift. Internet slow and at times frustrating. Breakfast choice satisfactory, mostly local food. Noisy airconditioning and I hope and poor insulation of walls making sleep disruptive. TV channels limited and TV monitor requires an upgrade.",3,Cititel Mid Valley
Kuala Lumpur,good service and hospitality,FaizulRuslan,"Segamat, Malaysia",2016/10/08 22:16:49,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-22,Malaysia,Good hospitality from the housekeeping dept. When i checked into the room i was surprised by a welcome note from Ms. Ayu welcoming my stay and offering assistance during the stay. It is such a nice gesture even with a simple note and it really makes my day. Thank you Cititel.,4,Cititel Mid Valley
Kuala Lumpur,Cozy place,phyllistansh,,2016/10/08 22:16:49,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-21,Malaysia,Outside look old... but the inside of the hotel looks totally different. Nice and cozy... Our room are clean and neat. Staff are friendly and nice.The massage spa is fantastic. Staff are friendly and good skills.But the breakfast does not have much variety.,4,Cititel Mid Valley
Kuala Lumpur,My first choice in KL,Lana L,,2016/10/08 22:16:49,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-19,Malaysia,This is my third time to cititel mid valley with my family. We stayed in a deluxe room. As we requested we got to stay at higher floor. I got little scared as it was raining heavy with thunders and sound was very loud as it was higher floor.The rooms were cleaned as usual and staffs were nice.,5,Cititel Mid Valley
Kuala Lumpur,"Strategic Location , Poor Room Renovation and Not Modern Looking",Steven C,,2016/10/08 22:16:49,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-13,Malaysia,"Located in the Midvalley Megamall and the Garden ,by walking distance through the connecting walkway to mall, it very convenient to shopping and verity food choice.The walkway will be closed after 1.30amRoom and bed consider tidy and clean , but the carpet seem dusty.Price are above average for a 3 stars hotel. Breakfast not much verity, just a standard buffet breakfast for a 3 stars hotel.The room was old with very minimum renovation, very limited TV channel with old small LCD. Room furniture and design not in modern looking with a lot yellowish lighting which will be more creepy in the late night.The lift is slow ,during peak hours have to wait quite long.Apart from the matters mentioned above, I am quite satisfy with the hotel's good location and services provided. I will recommend this hotel to those who love shopping or for business trip. Hope to see improvement for my next visit.",3,Cititel Mid Valley
Kuala Lumpur,"amazing staff, from reception to housekeeping",pyanktn,"Kuantan, Malaysia",2016/10/08 22:16:49,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-08,Malaysia,"I would say this is the best service I ever received in any hotels. It began with the reception staff (Fhairul if I'm not mistaken) patiently entertaining my requests during check-in. Another reception staff was happily to show and company me to the mall and restaurants nearby. Housekeeping staff were very tolerate and helpful allowing my 1 year old son to play along the aisleway during her cleaning job. Don't forget, she also helped to carry our bags when we checking out. Restaurants staff were very warm and sensitive to provide the babychair once we entered the restaurants. They even offered to bring us foods and drinks while we were occupied with our son. Yes, there were few weaknesses but their kind and amazing service really overshadow the negatives.",4,Cititel Mid Valley
Kuala Lumpur,Strategic location,Zex2016,"Kuching, Malaysia",2016/10/08 22:16:51,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-05,Malaysia,"One of my favourite hotel. Located in the Midvalley Megamall, very convenient to go to shopping. Also easily to find transport such as taxi (budget taxi also available) and ERL. The room also very clean and nice. For non-smokers, request for non-smokers room, very comfortable.",5,Cititel Mid Valley
Kuala Lumpur,Friendly Staff. Great Location,Celesta8,"Singapore, Singapore",2016/10/08 22:16:51,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-05,Malaysia,"My company picked this hotel for our meeting in KL. Their intention was to put us somewhere that was convenient for leisure, and this hotel definitely does fulfil that. The connecting mall has plenty of retail and food choices, not to mention, a cinema as well.The staff here are friendly, room service was quick and smooth, and the housekeeping lady greets the guests as they walk pass. I'd like to commend the housekeeping lady, Milus (I think that's her name), for keeping my room so clean. Makes it so relaxing to come back to after a long day of work. Will definitely come here again.",5,Cititel Mid Valley
Kuala Lumpur,Enjoyed and good atmosphere,basithr2010,"Thanjavur, India",2016/10/08 22:16:51,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-04,Malaysia,"I am really enjoyed my trip in this hotel, very neat and clean rooms, good breakfast arrangements and menus. It's located near the shopping mall.Wifi speed is not good and it's poor range my room Train Transport facilities are available very near to this hotel",5,Cititel Mid Valley
Kuala Lumpur,Very good location,Ahmed A,,2016/10/08 22:16:51,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-04,Malaysia,"Nice hotel with very smart location 20 min to twins tower, 12 min to central market and chain town and 22 min to sunway lagoon all this by taxi. Also it have direct access to Mega mall which is very big and have what ever you want. Nice view from the rooms. The only negative things that the management need to think to renew the rooms since the furniture looks very old even the carpet. The staff was grateful, the give 2 hours more after the check out time",3,Cititel Mid Valley
Kuala Lumpur,Great location,marilyne2375,seremban,2016/10/08 22:16:51,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-31,Malaysia,Easily accessible via public transport. Located next to the mall. There is an abundance of choice for places to eat. Service was okay. Staff were quite friendly. The buffet breakfast choice was okay only. The room was clean.,3,Cititel Mid Valley
Kuala Lumpur,Good location,Tc L,kch,2016/10/08 22:16:52,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-30,Malaysia,"The hotel is in the shopping mall. Thus, location is very convenient to go shopping in Mid Valley shopping mall. Price are above average for a 3 stars hotel. Breakfast not much choice, just a standard buffet breakfast for a 3 stars hotel.",3,Cititel Mid Valley
Kuala Lumpur,Good Location,QianQianng,Pahang,2016/10/08 22:16:52,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-27,Malaysia,"I choose to stay at Cititel Mid Valley for 2 nights as the traning venue is just opposite the hotel, which is very convenient for me. Furthermore, this hotel is next to shopping malls and various choice of eateries.Tthe room is clean and confortable, except the airway above the shower place and below the closet (the place where we keep our shoes) are quite dusty. Hopefully the hotel management will inform the housekeeping personnel to improve on the room cleaning. Furthermore, the room's sound proof system also needed improvement . I can hear the customer next door using the showers and was awaken few times in wee hours when someone open or close their rooms' door.Apart from the 2 matters mentioned above, I am quite satisfy with the hotel's good location and services provided. I will recommend this hotel to those who love shopping or for business trip. Hope to see improvement for my next visit.",3,Cititel Mid Valley
Kuala Lumpur,Excellent service for 3star hotel,myra_sany,"Kuala Lumpur, Malaysia",2016/10/08 22:16:52,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-27,Malaysia,"Been here a week ago after long time.last visit was in 2014.quit impressed with the renovation.i can give 5star for hospitality,and service as the staffs were friendly,nice and very helpful.for room,if you travelling alone,you can choose the superior,otherwise please go for deluxe.the breakfast,not much variety but that s i guess is standard for 3star hotel.the price above average for 3star hotel,but i guess the location is the main attraction ,very strategic which is the conjunction to mid valley megamall,so worries if you are travelling alone as the shop and restaurant just next to your stay",4,Cititel Mid Valley
Kuala Lumpur,Perfect Location,Aziey Yuuki A,,2016/10/08 22:16:52,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-27,Malaysia,The room is just nice for you to relax after a hectic day. Clean and comfortable.The best thing is it was a very strategic location as you can go shopping or eat your heart out by just going to the lobby area which connected to the MidValley Megamall and can proceed to The Gardens as well.,4,Cititel Mid Valley
Kuala Lumpur,A night's stay,Bumblebees101,"Kuala Lumpur, Malaysia",2016/10/08 22:16:52,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-26,Malaysia,Had a short 1 night stay as dear husband's attending a late night party at Bangsar area. We do not want the hassle of driving back and just simply want a relaxing stay in a hotel to pamper ourselves. Hotel room is small but quaint. It is clean and serves its purpose. The price is higher due to the fact that is is within a mall and that is the highlight and perks of the accommodation. You can just walk down to the mall and get literally anything and everything that you need.,4,Cititel Mid Valley
Kuala Lumpur,Cititel Midvalley,farida b,"Kuantan District, Malaysia",2016/10/08 22:16:53,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-21,Malaysia,Hotel in good location. Only less parking and you need to wait to get parking lot. Hotel Management need to do some arrangement on this. Breakfast need to improve as I remember few years back is was good. I use to stay in this Hotel every year.,3,Cititel Mid Valley
Kuala Lumpur,Great location..good services,MimZiq,"Kuala Belait, Brunei Darussalam",2016/10/08 22:16:53,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-20,Malaysia,"Booked a room for 2 nights.Arrived quite early. Was told my room was not ready, so I've went around the mall which is under the same roofs. After 40-45minutes then I checked in the room. My room view was amazing, where i could see the busy roads and the famous KLCC and KL tower. The staffs are very friendly and helpful. the only things is the TV channels in yes, quite limited. Surely will recommend other folks who loves shopping so much to spend their nights here.",4,Cititel Mid Valley
Kuala Lumpur,Location can't be beaten! Room was clean and comfortable,Cheryl T,"Sydney, Australia",2016/10/08 22:16:53,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-19,Malaysia,"Will definitely stay here again, we loved it. So many great restaurants and shops in Mid Valley Megamall underneath. Our deluxe room was tidy and spacious. Air conditioner and ceiling fan can be adjusted for the perfect temperature. Service for check-in and check-out was fast and friendly. Only small drawbacks - very limited TV channels (not much kids' TV at all). And I fully support the environmental consciousness sign about not needing new towels every day - yet when I hung up my towels as suggested, and the room was serviced, they replaced the towels! We don't need new towels every day so we just started putting the Do Not Disturb sign up. It would be great if the cleaning staff followed the instructions on the green sign the hotel has put in the bathrooms. A great place to stay though, good value! (Ask for non-smoking room - not all floors are non-smoking)",4,Cititel Mid Valley
Kuala Lumpur,"Express check in, Great location but lousy Room and breakfast",Repot,Jakarta,2016/10/08 22:16:53,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-13,Malaysia,"Booked 1 room for 4 nights. The staff was friendly and helpful, let me check in early when he found the room available. Nice clean rooms and located next to mall and surrounded by malls.The only downer, the room was old with very minimum renovation, very limited TV channel and the breakfast disappointing where they served almost the same menus everyday.",3,Cititel Mid Valley
Kuala Lumpur,Exceptional Services,Kai Sing C,,2016/10/08 22:16:53,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-11,Malaysia,"Their services were ""the key"" that impressed and triggered me to write this review. First, the frontdesk was truly helpful and sincere. And once I entered my room, I saw a piece of beautiful handwritten note (welcome note) and origami (symbolizes good luck) by their housekeeping. Truly appreciate that they went this far to make a welcoming stay for their guest. Would highly recommend Cititel to anyone who is looking for great services, good location, and clean environment.",5,Cititel Mid Valley
Kuala Lumpur,Small room and old,Vivian L,"Kuching, Malaysia",2016/10/08 22:16:55,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-08,Malaysia,"My family stayed there for 2 nights and the room is very small compare to the one I stayed at KL Sentral...the bed is also very small, room is old and poor maintenance. No doubt it next to the shopping mall which is convenient",2,Cititel Mid Valley
Kuala Lumpur,"Location, location, location",Navsachi,"Melbourne, Australia",2016/10/08 22:16:55,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-05,Malaysia,"If you're in KL to shop, there's no better base than having your hotel within a megamall. The staff at Cititel are warm. welcoming and friendly with a handwritten note to us from the cleaning lady, introducing herself and welcoming us. The room was clean and comfortable with an efficient hot water service and a ceiling fan alternative to air conditioning (for those who don't like the air con). I had the best nights' sleep in that comfy bed during my stay. We also enjoyed the high level views of KL and the free, quick WiFi. The only downsides are that there is no swimming pool for guests to use and that in the room, a baggage rack to prop a second suitcase would have relieved some back strain.",4,Cititel Mid Valley
Kuala Lumpur,Great location & comfortable room,Eugene E,"Singapore, Singapore",2016/10/08 22:16:55,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-07-04,Malaysia,"Stayed for 2 nights in a deluxe triple room with an extra bed. The room was big, clean and comfortable enough for my family of three. It was on the 26 floor and had a great view of KL city & the twin towers. The bathroom was spacious and included a bathtub. Wifi was free and fast. Accept for the smell of cigarette smoke at times along the corridors and lobby we enjoyed our stay and would definitely stay there again. Highly recommended.",4,Cititel Mid Valley
Kuala Lumpur,"Old & Poorly Maintained Hotel, Convenient Location",MaxChin,Kuala Lumpur,2016/10/08 22:16:55,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-30,Malaysia,"Located next to the entrance to Mid Valley (Coffee Bean and Tea Leaf) entrance, once you see the cafe then is only matter of few minute before you see the hotel entrance. The lobby was okay and check in process was rather easy, with the help of the staff we are able to check in within 10 minute time, the staff ask for RM20 deposit when she checked us in which i think is not necessarilyIn the room, the furniture was okay but it look significantly old and not maintained very well. We asked for extra bed to cater to the extra person, the bed was okay and we had a good sleep, due to its convenient location we are able to walk out to Mid Valley and buy something even during night time, the remote control of the room TV is quite dusty as well, another sign of poor maintained room.The breakfast, to be honest, was quite terrible, food choice was limited and taste not appetizing enough, there is only a few choice like Nasi Lemak, Fish Fillet, Baked Bean, Porridge and etc...drinks was also limited, for the price we pay this is definitely not worth it",3,Cititel Mid Valley
Kuala Lumpur,GOOD STAFF GOOD LOCATION,saidmm,"Kuah, Malaysia",2016/10/08 22:16:55,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-26,Malaysia,"Me and my family stayed here recently. Overall, all of us had a wonderful stay and what makes us wanted to come back again is because of the staff. We always being greeted by the friendly staff at the lobby. Reception is super friendly especially farizz, Sofia, emma. One thing for improvement, staff at restaurant look tired and sour face during serving breakfast time. if they can put some smile maybe it be a best hotel. All in all, nice stay, nice staff what else we can ask for.",5,Cititel Mid Valley
Kuala Lumpur,Great central place,Huia O,"Auckland, New Zealand",2016/10/08 22:16:56,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-23,Malaysia,"Centrally located to shopping malls and makes using the train system really convenient,especially if you want to get to the Batu Caves,which is awesome! Internal access to the malls.The room itself was ok.If you don't expect too much then you won't be disappointed. Everything was clean and was in working order. I was travelling by myself,so my needs were simple.",4,Cititel Mid Valley
Kuala Lumpur,Nice and good location,lo l,,2016/10/08 22:16:56,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-21,Malaysia,"The hotel is inside Midvalley shopping , may drop from KLIA express then change by using KTM which to Seremban line then will arrive the mall. Very near to restaurant too.Behind the shopping mall also link to St.gile garden hotel. Robinson mall is inside the building, most branded bag are many choices inside the mall.",5,Cititel Mid Valley
Kuala Lumpur,4 Stars for a Rated 3-star Hotel,Vince W,"Singapore, Singapore",2016/10/08 22:16:56,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-20,Malaysia,"We booked and stayed in a superior room.The condition of the room is above expectations. However, the room is quite small.We stayed at level 20. Very high floor with gorgeous view. By far, it is the best view from a hotel room.The hotel is located adjacent to 2 mega malls. Very easily accessible. Price is relatively cheap.",4,Cititel Mid Valley
Kuala Lumpur,Pricey hotel,meriana s,,2016/10/08 22:16:56,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-16,Malaysia,The room i rented was 265 myr/night. And i think it's pricey because the room's standart and quite small. The bathroom is quite small as well but there's a refrigerator on the room. Hmm... But actually it's quite convenience to stay at this hotel since it's connected to the mid valley mall and ISEC.,3,Cititel Mid Valley
Kuala Lumpur,Economy Class Hotel,Teri1308,"Singapore, Singapore",2016/10/08 22:16:56,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-13,Malaysia,"When I stayed this hotel for the first time, I chose Superior room but the room itself was small. I really could not relax so I chose Deluxe room (the highest Floor) of the hote/ This actually made a huge difference as the room was quite spacious however the room's atomoshere was kind of dark. Aircon was not working well. Anyway, I think it is reasonable if you just need a place to sleep but I would not recommend it to my friends.",3,Cititel Mid Valley
Kuala Lumpur,Good comfortable stay in an excellent location,Kuntal1995,"New Delhi, India",2016/10/08 22:16:57,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-09,Malaysia,I stayed in this hotel from 31st May to 6th June 2016. The deluxe room in the 27th floor gave a very good view of the skyscrapers including KL Tower and Twin Towers. Room was spacious and comfortable. Room service was very good. Everyday toiletries were changed and replenishment of tea/ coffee provided. The location is excellent. It is just next to the huge Mid Valley Mall and one can spend leisurely time in the mall. Breakfast spread was good and services prompt.,4,Cititel Mid Valley
Kuala Lumpur,Easy access to Mall,novcy,"Pasig, Rizal, Philippines",2016/10/08 22:16:57,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-08,Malaysia,"We stayed here last june 2-5, 2016.Pros1. Cheapest price i think in terms of hotel within the city2. Adjacent to Mid Valley Megamall so if you want to go on shopping they are open from 10am-10pm3. Room is great. confortbale bed, pillows and linens, with h/c shower, towels etc4. He had a great view form our room.5. Easy check-in and check-out6. Room service - is quite ok, i asked for a creamer and sugar for the next morning usage it never came. we called again on morning to asked for it. But the good thing is they did not accept tip.7. Daily make-up room.Cons1. From KLIA 1 hour travel time to Cititel MId Valley 2. since we were in the city, we experienced a SUPER HEAVY traffic going back to our hotel from the tour.3. With FREE WIFI but not that strong when we were there maybe because there's a lot of guests checked-in that time.",4,Cititel Mid Valley
Kuala Lumpur,Cozy & Mid-range Hotel,Mandy C,,2016/10/08 22:16:57,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-06-02,Malaysia,"We are booking a Superior Twin Room & stayed from 23/04/2016 - 24/04/2016. The room was nice & comfortable. Basic Room amenities was provided in room. The hotel is located in MidValley Mega Mall, hence this is good location for those who love to shopping & easily get back to hotel for rest. Quick check in and check out process. Their customer service was good. As we are have a comp news paper while our stayed, but some how we did not receive. After we highlighted, The GM - Edwin Low was do the investigation & given back feedback to us. We are much appreciated for a kind of responsible personnel.",4,Cititel Mid Valley
Kuala Lumpur,Great services provided by the housekeeping team,wongk633,,2016/10/08 22:16:57,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-05-27,Malaysia,"Due to this hotel is right beside Mid Valley so i decided to book a night to stay here for business purposes.As when I booked online, the check-in time was scheduled to be after 2pm only but due to I have arrived earlier at around 11.45am. I was told by the front officer that he could allow me to check-in earlier as there is a room available. Thank you for this!Secondly, there is some blood stained on the towel which I realise that only after I wiped my body. I called up Housekeeping & they immediately change the towel for me. Right after that, Ms Joo Li from housekeeping calling up to apologise about the incident that had just happened as they are waiting new towels to arrive this few days so that this wont happen again as all the towels are brand new again.The second day after I went back to hotel for check out & I found a gift from Ms Joo Li.I would like to thank Ms Joo Li for the wonderful services provided, you made my day! Well deserved 5 stars.",5,Cititel Mid Valley
Kuala Lumpur,Room,Keng Wah W,,2016/10/08 22:16:57,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-05-24,Malaysia,"Room is ok with the price.There did maintained the room standard.Hotel been 10years above, but still good looking. Television is a bit small, could upgrade to a bigger one. If parking at the hotel side is free, but if parking at shopping mall side have to pay RM 5.00 all day.Downside is theres no USB points. Just go down there a huge shopping mall. Aeon, MetroJaya, Mid Valley Mega Mall.",4,Cititel Mid Valley
Kuala Lumpur,Great Location,RereFrans,"Jakarta, Indonesia",2016/10/08 22:16:58,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-05-23,Malaysia,"I stayed for 3 nights. Its location is very convenient, which connected to mid valley shopping center and the garden mall, and Mid valley KTM station is nearby. My room is clean with basic amenities. In room safety box is not working, one from 2 electricity port is not working. Limited TV channel. The staff is very helpful anytime you need an assistance. And their wifi turned very slow after 8 pm. I couldn't really rely on its wifi connection. Get bored to the breakfast in my 3rd day. Breakfast is just average, nothing special. I'd like to stay at another hotel if I ever visit Kuala lumpur again. Not going to coming back to this old hotel.",3,Cititel Mid Valley
Kuala Lumpur,Cititel Hotel,SingaporeLucy53,singapore,2016/10/08 22:16:58,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-05-22,Malaysia,"We have stayed in this hotel many times. Our last visit was 11 May this year and it has and will continue to be our hotel of choice in Kuala Lumpur. This time around we enjoyed an early check in which was a pleasant surprise as most hotels do not provide this. We had 2 adjoining rooms assigned to us without our asking which was convenient. We choose this hotel time and time again due to its location adjoining a mall that has so many restaurants and food outlets that we are spoilt for choice. However, we also love the buffet breakfast spread of local dishes at the hotel. The food is always quickly replenished and freshly cooked. Service is prompt and polite.",4,Cititel Mid Valley
