postcode,reviewer,post_date,review_comments,name,reviewer_origin,country,review_title,city,scrapday,score,streetaddr
59200,Ajith P,2016-09-10,"fantastic hotel in great shopping mall,dining shopping and good hospitality all together .front office and other hotel staff offer on of the best service in kualalumpur . breakfast on of the best in area and well spread with western and eastern choices. we stay this hotel for PANASONIC distributor forum ,in overall very good hotel stay",The Boulevard-St Giles Premier Hotel,,Malaysia,Everything together ...,Kuala Lumpur,2016/10/08 22:15:28,5,Mid Valley Expressway
59200,ElliseLamsal,2016-09-06,"Very nice hotel situated in the midst of huge shopping centre!First visit here and greeted by friendly staff whom managed to accommodate to most of our request, will definitely consider to stay here again!Shopping hub!",The Boulevard-St Giles Premier Hotel,Singapore,Malaysia,Nice hotel,Kuala Lumpur,2016/10/08 22:15:28,5,Mid Valley Expressway
59200,Ada L,2016-08-25,"gym opens and closes too early. Breakfast was fine in terms of variety. Taste is ok. Utensils are not.clean... yuck. The.cleaning corner in the restaurant is too noisy, feels like in a school canteen. Was given a smoking room, even though booked for non smoking. Sigh.... room wise was ok. But for all the business trips, this hotel is one of the worst....",The Boulevard-St Giles Premier Hotel,,Malaysia,Too mediocre,Kuala Lumpur,2016/10/08 22:15:28,2,Mid Valley Expressway
59200,serina007,2016-08-23,"Excellent location with food of all variety, shopping and cinemas within walking distance - total spoilt for choice! We watch a midnight movie and just walk back to our room! The staff were friendly and helpful. A plus is that it is handicap friendly.",The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Convenient & feels like home,Kuala Lumpur,2016/10/08 22:15:28,4,Mid Valley Expressway
59200,CasChen,2016-08-21,Stay at boulevard hotel for many times and its comfortable although the deco is dated. Overall there has been improvement over the years. Staff service is good. There is a new spa and massage on 9 th floor and its newly open. Foot and shoulder reflex for all but only spa for gents. The foot reflex is better than thai outlet at mid valley.,The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Weekend getaway,Kuala Lumpur,2016/10/08 22:15:28,3,Mid Valley Expressway
59200,Devi1ishUk,2016-08-11,"Where do I begin? For starters, my request for 2 non-smoking rooms was not met. I was subsequently ""upgraded"" to a deluxe room on a smoking floor. I was also assured that the room would be refreshed before hand. The room reeked of stale smoke despite being ""refreshed"" (which consisted of someone giving a few cursory sprays of air freshener). Upon unlocking the door, I could hardly open the room door as the carpet in the room was so badly creased, it blocked the door from opening properly. On top of this, the carpet was horribly stained through out. Things soon went from bad to worse when I decided to have a shower and found that despite cranking the hot water all the way up, all I got was a slightly better than ice cold flow. Lastly, the shower fittings were damaged where they emerged from the tiled wall. As I was staying there for two nights, I had requested a change of room for the second nights stay and was assured that a non-smoking room had been reserved. Needless to say, when I went to change the room the following day, I was told that the rooms were no longer available. Having conveyed this and more to the check-out lady, I was assured that I would be hearing from the hotel management. Again, I have not received any communication to date and this is why I have decided to leave this review.Please stay away from this well below 3 star establishment!",The Boulevard-St Giles Premier Hotel,UK,Malaysia,"I couldn't give minus stars, so 1 will have to do",Kuala Lumpur,2016/10/08 22:15:29,1,Mid Valley Expressway
59200,884chins,2016-08-11,I booked a room through Agoda. When I checked in the hotel gave me a smoking room. I asked for a switch and they declined because they said if I did not indicate to Agoda that I need a non smoking room (there was no such option on Agoda's website) by default I will be given a smoking room and they cannot change it.So for all those who make bookings through third party websites or to this hotel please REMEMBER TO INDICATE SMOKING OR NON SMOKING.,The Boulevard-St Giles Premier Hotel,Singapore,Malaysia,Terrible Hotel,Kuala Lumpur,2016/10/08 22:15:29,1,Mid Valley Expressway
59200,bwan,2016-08-08,"We had booked for 2 non-smoking rooms and upon arrival, they mentioned the only ones available were smoking rooms. As we were staying two nights, we asked to be moved to non-smoking rooms on the second night and had been told they would be reserved. And despite this, they still failed to secure non-smoking rooms for us and gave it to others. Such incompetence. They offered to refresh the room which amounts to spraying some febreeze into the air which does next to nothing when smoke has permeated every furnishing, cloth, airway, and the entire corridor outside. The offered to upgrade us to premium rooms in the smoking section. Premium comes with carpets that looked like they either caught fire or was stained really badly; followed by a bathtub with creepy yellow stains. Will never stay here again.",The Boulevard-St Giles Premier Hotel,>>,Malaysia,Put into smoking rooms despite booking non-smoking ones,Kuala Lumpur,2016/10/08 22:15:29,1,Mid Valley Expressway
59200,Zex2016,2016-08-05,"I love this hotel since fist time i m staying here around 2008. Since then, this hotel is my first choice. Located in the Midvalley Megamall, of course your spouse love to stay here. Easily got transportation such as taxi or ERL. Very convenient to travel anywhere",The Boulevard-St Giles Premier Hotel,"Kuching, Malaysia",Malaysia,My favourite hotel,Kuala Lumpur,2016/10/08 22:15:29,5,Mid Valley Expressway
59200,Arf2001,2016-08-05,"I wouldnt call The Boulevard. Feels more like a 3 star hotel compared to the 5 star hotels in other cities in Malaysia (ie, Kota Kinabalu, Kuantan, Langkawi).Hotel lobby felt like 5 star until you step into the restaurant and room.Room reminded me of YHA in Sydney and Restaurant look somewhat like a college pantry..Hotel staff were very good and warmly welcomes you; plus proactive.Likes:Next to mall, plenty of taxisDislikes:Wifi is deathly slow, Restaurant breakfast/Dinner utensils and cups were horribly dirty and stained with lipsticks and gravy. I suspect the QC didnt check them after dish washing machine was used.(Recommend to eat @ restaurants in the shopping mall).",The Boulevard-St Giles Premier Hotel,United States,Malaysia,Business trip,Kuala Lumpur,2016/10/08 22:15:29,3,Mid Valley Expressway
59200,Saman H,2016-07-27,"The Hotel is located adjacent to Mid Valley mega mall which one of the largest - if not the biggest Malls in entire Malaysia. The rooms are spacious and comfortable and those located on upper floors command some of the best views of Kuala Lumpur. located on 9th Floor,the Wild Rice Restaurant offers a range of Malaysian and continental dishes and served by friendly staff. As there is direct access to the Mega Mall from the hotel one does not have to hop from Mall to Mall in search of different items. However, visiting KL Central from the hotel is a tricky operation as the roads around the gets highly congested at rush hour.",The Boulevard-St Giles Premier Hotel,"Colombo, Sri Lanka",Malaysia,Comfortable Rooms in the vicinity of Great Shopping experience,Kuala Lumpur,2016/10/08 22:15:30,4,Mid Valley Expressway
59200,Alex W,2016-07-26,"This hotel is quite modern, a bit run down, clean and comfortable with the proper amenities. But what's make it worth considering is its moderate prices and especially its location. It is attached to the Mid Valley Mall which is a great place for both shopping and the various eating stalls serving decent to good Western and Malaysian fare. It is also in between Kuala Lumpur and Petaling Jaya, making traveling convenient from here.",The Boulevard-St Giles Premier Hotel,"Washington DC, District of Columbia",Malaysia,Comfortable clean place in the perfect location,Kuala Lumpur,2016/10/08 22:15:30,4,Mid Valley Expressway
59200,shwezinhs,2016-07-26,"Located in mid-valley and connected to Mega Mall, easy for shopping and restaurants. Convenient to go to Putrajaya without traffic. Apart from that rooms are quite ordinary compared to other hotels in KL. All amenities are there but not high quality like Hilton's for example but even with contract rate I still pay 382 RM per night (100$). For the first time comers who wants to do city tour, KLCC or Central market, the location is a bit far although they still can take light rail. Breakfast also very ordinary, variety but not tasty. Nescaf machine for cappuccino, no instant coffee but still nothing special.",The Boulevard-St Giles Premier Hotel,"Bangkok, Thailand",Malaysia,Good location for Putrajaya and shopping but the hotel is just ordinary,Kuala Lumpur,2016/10/08 22:15:30,3,Mid Valley Expressway
59200,chongc675,2016-07-18,"I was on a holiday trip with a group of friends. We hired a chauffeur driven MPV which brought us from Singapore to KL and Malacca.First stop, Kuala Lumpur to check into The Boulevard, St. Giles Hotel. The chauffeur made a mistake by dropping us off at The Gardens-St. Giles Hotel (the hotels are under same management and a stone throw from each other). The staff at The Gardens informed we were at the wrong hotel. Our MPV has left. And we have our luggages.The counter staff smiled and said, ""No worries. Our porter will help bring you to The Boulevard"". A pleasant 5-minute walk and we were warmly welcomed at The Boulevard. The staff was pleasant and warm. Check-in was fast without any fuss.The rooms are spacious and very comfortable. My room has a river view. Room was bright yet not glaring. The Boulevard is next ti The North Court of Mid Valley Shopping Mall, thus shopping is very convenient. Food and beverage outlets are readily available in the shopping mall. We enjoyed our stay at The Boulevard. Our only regret? We should have stayed 2 more nights there.",The Boulevard-St Giles Premier Hotel,Singapore,Malaysia,Great Location! Memorable Experience.,Kuala Lumpur,2016/10/08 22:15:30,4,Mid Valley Expressway
59200,div106,2016-07-16,"The hotel is very strategically located next to the Midvalley mega mall. It can be reached easily from the airport by train . The breakfast is average . Better to stay at a higher floor for a better view. The hotel is connected to the mall, where you can enjoy shopping as well as a range of dining options .",The Boulevard-St Giles Premier Hotel,"New Delhi, India",Malaysia,Good location,Kuala Lumpur,2016/10/08 22:15:30,5,Mid Valley Expressway
59200,Saidah S,2016-07-12,"Stayed here for 5 nights. Excellent location, it is connected to a huge mall in Midvalley (Midvalley Megamall). Excellent service, clean and cozy rooms but my deluxe room has no bath tub. But the swimming pool is nice. Gym and spa facilities available. Room service and in house cafe / restautant are here. Will recommend anyone coming to KL to stay here.",The Boulevard-St Giles Premier Hotel,"Kota Kinabalu, Malaysia",Malaysia,Work cum holiday,Kuala Lumpur,2016/10/08 22:15:32,4,Mid Valley Expressway
59200,MNKhaki,2016-07-10,"I visited St Giles on recommendation of a family member who stayed there before. The hotel itself is in a beautiful location set in the middle of Bangsar, and on top of a mega mall. It is also adjacent to the Garden Mall - everything of which is accessible without the need of going out of the premises.The proximity of all the shops, restaurants is just a shoppers dream!The service was ok. I can't rate it 5* because of some complications at the reservations desk - the staff seemed unsure or confused about what to do with us, a family of 6 including 2 children. They wanted to upgrade 1 room and downgrade another which we though unfair since we paid a decent amount for each room per night, After much haggling and waiting, we finally got a room - nearly 2 hours after check in, and considering we were late on arrival in the first place - it should not have been the case.As for departure, they were not even considerate enough to allow us extra time of 2 hours (due to the disservice on check in, and the delay) as our flight was in the evening.The room service and laundry services were quite good. Efficient, and quick.The breakfast dining area located on the 9th floor, was ok. Nothing to write home about - in fact the selection at our previous Hotel, was much better. However - it wasn't bad or anything. I guess we were impressed with a larger selection at our previous location, and for which we paid much less, than the somewhat minimalistic selection at The Boulevard.The room was tastefully decorated, and the bathroom/shower area was pleasant! The Wi-Fi wasn't all that great.I would probably opt to stay at St Giles The Gardens next time, and because of the fact that our family loves the mall, cafe and restaurant scenery, The Boulevard could be our second choice. Definitely not a complete rule-out.",The Boulevard-St Giles Premier Hotel,"Mombasa, Kenya",Malaysia,Great Location. Decent Service.,Kuala Lumpur,2016/10/08 22:15:32,3,Mid Valley Expressway
59200,Mary L,2016-07-10,"The hotel room is clean and spacious. Enough for a family with 2 adults and 2 young children. However, it doesn't come with a bath tub. The swimming pool is nice. Children said the pool water tasted salty. Don't know whether the management put sea salt water in it.The hotel is just next to Mid Valley shopping mall. If you like shopping for branded stuff, it's just across the road where you can find The Gardens Mall. There are a lot of restaurants with different varieties. So, no worries of going hungry or nothing that suits your taste buds.",The Boulevard-St Giles Premier Hotel,,Malaysia,Good for shopping and relaxation,Kuala Lumpur,2016/10/08 22:15:32,4,Mid Valley Expressway
59200,lwluen,2016-07-09,"Located right beside the Gardens, it's lobby is connected to Gardens shopping mall and Mid Valley Megamall, perfect for shoppers. We can also walk back and forth without worrying about our safety after midnight movies as the mall and lobby is accessible even during midnights.The room is really spacious and comfortable. There is even a bath tub where you can just soak in and forget everything, The only downside is the check in counter might not be enough thus checking in process might take some time. There is also no special parking allocated for hotel guests which means finding a parking space might be a headache!",The Boulevard-St Giles Premier Hotel,"Penang Island, Malaysia",Malaysia,"City, shopping and a great stay!",Kuala Lumpur,2016/10/08 22:15:32,5,Mid Valley Expressway
59200,Leo S,2016-06-28,"This Hotel is located next to a huge shopping mall (Mid Valley shopping mall). For those who love shopping, this hotel very convenient. The breakfast that the hotel provide was nice, with a good range. The hotel provide full toiletries. My stay in this hotel is very pleasant and I have been coming back to them for all my trips to KL.",The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Convenient Hotel,Kuala Lumpur,2016/10/08 22:15:32,4,Mid Valley Expressway
59200,dorisn755,2016-06-17,"is very convenient to shop in Mid Valley megamall and the Gardens if you stay in this hotel. The pricing is not cheap but for that location, you might rather pay for it than paying the cab fees. The room is clean and they allow for early check in if you arrive earlier and that's what I love most compared to those hotels that you can only check in at 3pm.",The Boulevard-St Giles Premier Hotel,"Kota Kinabalu, Malaysia",Malaysia,convenient,Kuala Lumpur,2016/10/08 22:15:33,4,Mid Valley Expressway
59200,mrshcx,2016-06-14,"3 star hotel at best- the room I had and the floor smelt of cigarettes, not fun if you are a non smoker. When I arrived to HK the clothes I had taken with me smelt of cigarettes from the room- it festers and it's particularly pleasant. The room is a large size, the bed also, no complaints there. Bathroom was great. The carpets were not nice, I wouldn't have walked bare foot, they were somewhat sticky. Using the hotel for business after my seminar I wanted to relax by swimming but despite the hotel having a smaller childrens pool next to the big one groups of families insisted on using the main pool so their children could mess around making swimming impossible. They were also shrieking and screaming and generally being badly behaved. No one watches the pool so no staff intervention. The kids were diving but the pool is very shallow, never above my waist and I am 5'9 so an accident waiting to happen. Breakfast seems ok- coffee is pretty bad though. A mix of chinese, malay and western breakfast. Lots of cheese but no ham, bacon etc. Nice selection of bread. From the hotel lobby you can walk straight into the mall and only a 5 minute walk to the KL Kummuter line, easy access to KL Sentral. Good taxi links too. Great shopping and food options in the mall. Couldn't see any room service for the hotel but it's not made clear whether the hotel has this or not. I wouldn't stay there again for the price, I'd stay more central and pay only a small amount more.",The Boulevard-St Giles Premier Hotel,"Hong Kong, China",Malaysia,I wouldn't call it 'Premier',Kuala Lumpur,2016/10/08 22:15:33,3,Mid Valley Expressway
59200,Simon J,2016-06-13,"I stayed here with my partner using the hotel as a base for mixing business and pleasure. It is so well located, everything was in walking distance. My partner is not an experienced traveler yet she found KL easy to navigate using the hotel as home base. The hotel is a true 5* + experience. The rooms are fantastic, the views amazing. The restaurants are exceptional and i particularly enjoyed the cigar lounge. KL is a fun city and this hotel makes it so accessible. The bed and shower rating ( my personal benchmark) is 10/10 both are exceptional. Fantastic hotel...",The Boulevard-St Giles Premier Hotel,,Malaysia,Love this hotel,Kuala Lumpur,2016/10/08 22:15:33,5,Mid Valley Expressway
59200,youarehere,2016-06-13,"The booking at Boulevard started well. Quite soon after I made the booking I got a call from the hotel, clarifying details about my booking. However, during the check-in itself, things went downhill. We were there at around 230pm on a Saturday and was told our rooms were not available. I hadn't realised at that time that check-in was 2pm and thought it was 3. We were told our rooms had been set aside for us but would only be ready at 315. We went off for a late lunch and got back after 330pm and were told that one of the rooms booked was still not ready. The receptionist then spent a good 15 minutes scrambling around trying to find a room. She finally found one, which makes me wonder why that room wasn't immediately available to us when we went to reception. It also raises the question of what happened to one of the rooms that had supposedly been set aside for us and suddenly disappeared in the interim. You either have a room or you don't - it shouldn't disappear into a black hole in less than an hour. Another example of the hotel's inefficiency was wifi. In both rooms, the assigned wifi user name and password didn't work. Instead, we had to use the general user name and password, which sometimes kicked us out because too many users were on it. The room itself was adequate. The beds were firm enough although the bathroom did sometimes smell. We thought it had something to do with the sewage system rather than the actual cleanliness of the bathroom. Housekeeping did a good job of cleaning the room. The hotel is good if you want to go shopping at Mid Valley Mega mall. Foodwise: Walk through the main entrance of the hotel, turn left and there's a bunch of good eating places - antipodean coffee is a really good breakfast venue. In all, Boulevard would have been a good choice for a Mid Valley stay if not for the annoying experience at reception. Now, I have second thoughts about staying there again.",The Boulevard-St Giles Premier Hotel,singapore,Malaysia,Potholed with inefficiencies,Kuala Lumpur,2016/10/08 22:15:33,2,Mid Valley Expressway
59200,Teri1308,2016-06-09,I usually shop at Midvalley Megamall and the location is better than St.Giles the Gardens. Pricing is quite OK .I can enjoy bath in the bathroom. Breakfast Buffet was just OK. It was not so delicious but it is fare snough for the price.,The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Very Convenient,Kuala Lumpur,2016/10/08 22:15:33,4,Mid Valley Expressway
59200,Seasondtraveller,2016-06-07,"I stayed twice in this hotel over the past week. The first time, I was surrounded by noisy neighbours and given the limited sound insulation that was a serious nuisance. The second time, I was given a room on the top floor, but it turned out to be a connecting room and I had to endure the noise from the party the youngsters were having in the connected room well into the night. Besides, the furniture and carpet in the room were cheap and worn out. On the positive side, breakfast was just OK, and wifi was alright. Also, the proximity of the shopping mall and Kmuter is a plus. The price is relatively high given the quality.",The Boulevard-St Giles Premier Hotel,Paris,Malaysia,A mixed experience,Kuala Lumpur,2016/10/08 22:15:34,3,Mid Valley Expressway
59200,Thairod11,2016-06-06,The rooms are very well appointed including a desk for working. Flatscreen TV with international channels and free wifi included. Very spacious bathrooms with shower cubicle large enough for two persons. Just a minutes walk through the hotel to a large shopping complex,The Boulevard-St Giles Premier Hotel,,Malaysia,Excellent hotel in city centre near shopping Mall,Kuala Lumpur,2016/10/08 22:15:34,5,Mid Valley Expressway
59200,NWellman,2016-06-02,"Stayed many times on business, always in the executive rooms which give access to the exec lounge with its free refreshments and food (tiger beer, Black label scotch. The ""canapes"" include various rice/noodle dishes, prawns, kebabs etc, plus sticky cakes, so, if on a budget you can save on food and bar bills. Breakfast can be Exec Lounge or main restaurant: despite less choice, I personally preferred the lounge.Rooms have gradually been upgraded over the 4 years I visited. Staff very friendly and as I visited c13 times over 4 years, they get to recognise and know you :-)However, pity to have lost the fishpond area to make more restaurant space and the afternoon tea, which used to be tiers of cakes and sandwiches is much reduced. Food is OK but in KL you're generally better eating out (if you're brave enough, where the locals eat). Locally I can recommend the Chinese and Japanese places and for German beer and food Brotzeit, all just a few minutes along the main mall from the hotel and, towards the bottom end, Aunty Nat's (up two flights of stairs opposite the Library bar).Very convenient for shopping in the mall and trains to KL from just down from the hotel. If using taxi it's cheaper to use the local cabs rather than the blue ones from outside the doorway, but beware being ripped of RM11-15 should be enough to get into KL: getting back is more likely to be a rip off (tho' there's an app to send photo of cab to the authorities if they try it on)Colleagues used the pool and gym, both of which they say were good.I suspect few manage it, but a trip down through the car park to visit the Indian Temple just on the edge of the Mall is well worthwhile.",The Boulevard-St Giles Premier Hotel,"Bristol, United Kingdom",Malaysia,13 enjoyable stays with friendly staff,Kuala Lumpur,2016/10/08 22:15:34,4,Mid Valley Expressway
59200,HildaLim72,2016-06-01,"Convenient location with attached big shopping mall. Room was upgraded and there were extra can drinks and chocolate bar (not tasty though!)Big toilet with separate basins.Bed is comfortable. I had stayed in all 3 hotels in Mid Valley - Cititel, Boulevard and The Gardens. Boulevard indeed offers the in between range among the 3.If possible, choose either Boulevard or The Gardens for a better stay experience.",The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Very comfortable,Kuala Lumpur,2016/10/08 22:15:34,4,Mid Valley Expressway
59200,Denniswon,2016-05-24,"Water supply in hotel is yellowish. After changing room at 3 different levels still same colour. Stay at level 16, change to level 18, change to level 21.After that was told. All hotel rooms same colour. No choice.",The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Water supply dirty,Kuala Lumpur,2016/10/08 22:15:34,2,Mid Valley Expressway
59200,Shannen T,2016-05-23,Was surprise for the upgraded room due to my son birthday celebration..!My children was very happy with the room deco and requested to extend our stay....The staff are very friendly and helpfulThe room is spacious and very cleanHad a very good experience and happy stayit's really a good place for family - very convenientCan't wait to plan for my next visit. Recommended...!!,The Boulevard-St Giles Premier Hotel,"Kuala Lumpur, Malaysia",Malaysia,Very good experience!!,Kuala Lumpur,2016/10/08 22:15:36,5,Mid Valley Expressway
59200,Judy L,2016-05-23,We stayed at the Executive room with Executive Floor benefit but was disappointed at the quality of their afternoon tea at the Executive Club but the cocktail hour made up for it. The canaps were good but the GM should try the wines himself ...especially the white wine............but the black label whiskey is appreciated.,The Boulevard-St Giles Premier Hotel,Singapore,Malaysia,A good 4-star hotel,Kuala Lumpur,2016/10/08 22:15:36,4,Mid Valley Expressway
59200,Cathy W,2016-05-22,Just checked in yesterday and by far I am enjoying every minute of it. I will review more as days goes by or till I check out of this hotel. Overall the amenities are great and staff are friendly however they need to be trained more on communication.,The Boulevard-St Giles Premier Hotel,"Tustin, California",Malaysia,Vacation in KL,Kuala Lumpur,2016/10/08 22:15:36,5,Mid Valley Expressway
59200,cyrille f,2016-05-20,"just stayed one night,great location for shopping,i have been to KL many times but this is the first time i stayed at this hotel,and it was great. they checked me in early, breakfast was really great, next time i will be going with my family to stay here. one down side is that the traffic in this are is pretty bad, but KL in general is like that.",The Boulevard-St Giles Premier Hotel,"Colombo, Sri Lanka",Malaysia,nice stay,Kuala Lumpur,2016/10/08 22:15:36,5,Mid Valley Expressway
