comment,comment_time,topic_title,comment_id,topic_starttime,topic_views,topic_url,topic_replies,topic_id,comment_user,topic_starter,topic_lastaction,topic_description
tried with some mac vpn software.... solved the speed issue....updated all my iTunes updates overnight... unfortunately it is paid software trial...i got 5 days left....lol need to find alternate software after that...,2016-07-30T07:21:00,Itunes Update in iDevice Slow,81031079,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,dinozilla,seanswn,2016-08-04T19:11:00,Only in Unifi
"TM is having an issue with apple devices. they are trying to solve the problem as soon as they can. Meanwhile, u can try to change your dns to 209.244.0.3 or use any VPN software. it works for me.",2016-07-30T13:38:00,Itunes Update in iDevice Slow,81034279,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,firdausbhari,seanswn,2016-08-04T19:11:00,Only in Unifi
try use vpn to download or install? works for me.. such as betternet,2016-07-31T23:04:00,Itunes Update in iDevice Slow,81050676,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,Leon C,seanswn,2016-08-04T19:11:00,Only in Unifi
still slow download until today...,2016-08-01T11:05:00,Itunes Update in iDevice Slow,81055083,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,JayC75,seanswn,2016-08-04T19:11:00,Only in Unifi
Im facing the same problem.. Slow update for my apps on my iPhone even after reboot. My Ingress app stuck at waiting to update till today. Had to delete and reinstall,2016-08-01T12:33:00,Itunes Update in iDevice Slow,81056674,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,tarvalslain87,seanswn,2016-08-04T19:11:00,Only in Unifi
"Fracking hell, they still haven't fix this issue!!",2016-08-04T18:54:00,Itunes Update in iDevice Slow,81112643,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,Darth Vaper,seanswn,2016-08-04T19:11:00,Only in Unifi
Same here,2016-08-04T18:56:00,Itunes Update in iDevice Slow,81112656,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,remix2040,seanswn,2016-08-04T19:11:00,Only in Unifi
WTF is wrong with them? How hard can it be to fix this issue? Not like a physical connection just broke between TM & Apple!!,2016-08-04T18:57:00,Itunes Update in iDevice Slow,81112680,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,Darth Vaper,seanswn,2016-08-04T19:11:00,Only in Unifi
My friend's Unifi has no issues at all. His package is 30mbps. No issues.,2016-08-04T19:00:00,Itunes Update in iDevice Slow,81112720,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,remix2040,seanswn,2016-08-04T19:11:00,Only in Unifi
Huh? I have the same package. Don't think it's package related issue. Where's your friend located?,2016-08-04T19:02:00,Itunes Update in iDevice Slow,81112751,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,Darth Vaper,seanswn,2016-08-04T19:11:00,Only in Unifi
"Izit my battery problem or am i thinking too much ? when i scroll facebook for 3 minutes, it will decrease by 1%. if whatsapp also 3-5 minutes will decrease by 1%. If i off everythin before i sleep at 97%. TOmorrow i will see 97% still, but when i open app, it will drop to 96% as well. this are my usage lah, how? izit my battery problem??",2016-08-10T12:29:00,"Guys, my battery like GG already after 8 months of",81192364,2016-08-10T12:29:00,327,https://forum.lowyat.net/topic/4025673,4,4025673,SocialExpats,SocialExpats,2016-08-10T13:10:00,usage..
How is that a problem?,2016-08-10T12:55:00,"Guys, my battery like GG already after 8 months of",81192762,2016-08-10T12:29:00,327,https://forum.lowyat.net/topic/4025673,4,4025673,McFD2R,SocialExpats,2016-08-10T13:10:00,usage..
You're overthinking it... I think it's normal...,2016-08-10T12:58:00,"Guys, my battery like GG already after 8 months of",81192796,2016-08-10T12:29:00,327,https://forum.lowyat.net/topic/4025673,4,4025673,attw,SocialExpats,2016-08-10T13:10:00,usage..
Not fast draining eh? Sometimes one minute to two minites will minus 1% leh,2016-08-10T13:01:00,"Guys, my battery like GG already after 8 months of",81192857,2016-08-10T12:29:00,327,https://forum.lowyat.net/topic/4025673,4,4025673,SocialExpats,SocialExpats,2016-08-10T13:10:00,usage..
I would only be worried if I'm not using it and it drains 1% every one to two minutes...,2016-08-10T13:10:00,"Guys, my battery like GG already after 8 months of",81192989,2016-08-10T12:29:00,327,https://forum.lowyat.net/topic/4025673,4,4025673,attw,SocialExpats,2016-08-10T13:10:00,usage..
"My iphone 6 is unresponsive, has anyone encounter same problem? I went to repair shop and they said it takes about rm650 to exchange a new one. I just wanna know if its worth to change. Because im so worried the problem will occur again.",2016-08-10T09:57:00,Wta unresponsive touchscreen,81189568,2016-08-10T09:57:00,263,https://forum.lowyat.net/topic/4025538,5,4025538,domofreak,domofreak,2016-08-10T13:41:00,Faulty touchscreen
you bought new or used phone?,2016-08-10T10:04:00,Wta unresponsive touchscreen,81189661,2016-08-10T09:57:00,263,https://forum.lowyat.net/topic/4025538,5,4025538,kanagawaautoparts,domofreak,2016-08-10T13:41:00,Faulty touchscreen
One and half year,2016-08-10T10:08:00,Wta unresponsive touchscreen,81189734,2016-08-10T09:57:00,263,https://forum.lowyat.net/topic/4025538,5,4025538,domofreak,domofreak,2016-08-10T13:41:00,Faulty touchscreen
u missed the point. used phone may have been dropped causing board cracked over time or 3rd party touchscreen replacement [lcd panel replaced before] or water damaged you do not know of or flex cable that came off [very less likely],2016-08-10T10:34:00,Wta unresponsive touchscreen,81190216,2016-08-10T09:57:00,263,https://forum.lowyat.net/topic/4025538,5,4025538,kanagawaautoparts,domofreak,2016-08-10T13:41:00,Faulty touchscreen
I accidentally drop it quite often Never change anything before,2016-08-10T13:37:00,Wta unresponsive touchscreen,81193395,2016-08-10T09:57:00,263,https://forum.lowyat.net/topic/4025538,5,4025538,domofreak,domofreak,2016-08-10T13:41:00,Faulty touchscreen
screen replacement is around 350-400,2016-08-10T13:41:00,Wta unresponsive touchscreen,81193437,2016-08-10T09:57:00,263,https://forum.lowyat.net/topic/4025538,5,4025538,hightechgadgets8,domofreak,2016-08-10T13:41:00,Faulty touchscreen
"Hi Experts , Well reached this site as an avenue for help . My Iphone 6 from Maxis had blue screen of Death a couple of times. but since i was overseas , i could really repair it as its not an international warranty. - The blue Screen of death unable to boot up and load  will be around for few days and suddently thn ok.. Anyone knows how to recover this problems.. Also if i need to do a factory reset any idea to get the data especially photos and contacts ? Cheers and thanks alot for your help",2016-08-09T12:51:00,"My Iphone 6 Blue Screen of Death , Need to Recover",81176354,2016-08-09T12:51:00,375,https://forum.lowyat.net/topic/4024855,5,4024855,MoneyChaser,MoneyChaser,2016-08-10T23:44:00,
did you change lcd before? some ppl have used wrong screw and that will cause bsod,2016-08-09T13:02:00,"My Iphone 6 Blue Screen of Death , Need to Recover",81176481,2016-08-09T12:51:00,375,https://forum.lowyat.net/topic/4024855,5,4024855,hightechgadgets8,MoneyChaser,2016-08-10T23:44:00,
No I didnt ... Thanks btw ..,2016-08-09T14:20:00,"My Iphone 6 Blue Screen of Death , Need to Recover",81177701,2016-08-09T12:51:00,375,https://forum.lowyat.net/topic/4024855,5,4024855,MoneyChaser,MoneyChaser,2016-08-10T23:44:00,
"I experience this and temporary solution is to let the blue screen run then try to clear install (dfu mode) the ios. Also when you do your backup, dont direct restore as when you try to restore back, the bluescreen will come back. Please restore after you see the bdso is gone As your device still under warranty, you need to send it back (they will give you new replacement set)",2016-08-09T17:30:00,"My Iphone 6 Blue Screen of Death , Need to Recover",81181257,2016-08-09T12:51:00,375,https://forum.lowyat.net/topic/4024855,5,4024855,iXora.ix,MoneyChaser,2016-08-10T23:44:00,
Thanks .. would like o check how long did the blue screen run for mine is almost for 2 weeks already ..,2016-08-10T09:45:00,"My Iphone 6 Blue Screen of Death , Need to Recover",81189344,2016-08-09T12:51:00,375,https://forum.lowyat.net/topic/4024855,5,4024855,MoneyChaser,MoneyChaser,2016-08-10T23:44:00,
"i used to have this issue. But for me i never really solved it. It just went away after happening a few times in a week. Brought it to an Apple Genius to get it checked, but they told me that the phone was fine. And one day it just stopped happening. not sure what was the issue. but i have seen sold the phone, unclear if it still persists for the person who bought my phone.",2016-08-10T23:44:00,"My Iphone 6 Blue Screen of Death , Need to Recover",81202138,2016-08-09T12:51:00,375,https://forum.lowyat.net/topic/4024855,5,4024855,remix2040,MoneyChaser,2016-08-10T23:44:00,
"Hi guys, i want to let go my Pebble Classic Black. Mint condition. Barely use nowadays.",2016-08-04T08:48:00,Pebble Classic Black,81101492,2016-08-04T08:48:00,436,https://forum.lowyat.net/topic/4020764,1,4020764,Shafieza,Shafieza,2016-08-11T01:12:00,
Still have n can pm me best price??,2016-08-11T01:12:00,Pebble Classic Black,81202730,2016-08-04T08:48:00,436,https://forum.lowyat.net/topic/4020764,1,4020764,queenaddilyn,Shafieza,2016-08-11T01:12:00,
"What i meant by oversea set such us, sg and etc",2016-07-19T18:17:00,Are there any iphone user here using beside my set,80868730,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
yes. why?,2016-07-19T21:41:00,Are there any iphone user here using beside my set,80871164,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,YoungMan,degraw1993,2016-08-11T10:26:00,
what set are you using?,2016-07-19T21:53:00,Are there any iphone user here using beside my set,80871333,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
Australia set here.,2016-07-19T22:28:00,Are there any iphone user here using beside my set,80871783,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,xzilem,degraw1993,2016-08-11T10:26:00,
Australia set? How long you've been using bro? Im curious on how the warranty since it's australia,2016-07-19T22:30:00,Are there any iphone user here using beside my set,80871815,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
"6 month since bought in australia, i used it for 1 month+ already. (Bought it from friend who just got back from australia). It's limited warranty, means can claim in australia only. I don't care about the warranty though because all of my previous phone didn't use the warranty at all.",2016-07-19T22:39:00,Are there any iphone user here using beside my set,80871964,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,xzilem,degraw1993,2016-08-11T10:26:00,
That means you're a careful user is it Have u noticed any different when using this set other than my set? Or it's just the same?,2016-07-19T22:43:00,Are there any iphone user here using beside my set,80872032,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
"It's just the same since it come from the same apple. No issues with anything at all, it's perfect like new, just like my wife new MY set. Why are you asking for it anyway? You want to buy a used international set?",2016-07-19T22:48:00,Are there any iphone user here using beside my set,80872110,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,xzilem,degraw1993,2016-08-11T10:26:00,
Ah i see good for you I gt kind of panic when i saw hk set instead of my set. Bought from garage sales here and when i receive i realized the screen protector already taken out Then need to buy new one. What a weird seller i ran into,2016-07-19T22:51:00,Are there any iphone user here using beside my set,80872155,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
"Check the warranty 1st, it's better a new used set and not a refurbished set",2016-07-19T22:54:00,Are there any iphone user here using beside my set,80872203,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,xzilem,degraw1993,2016-08-11T10:26:00,
The warranty still have until next year so it's new used set. Used within 3 months,2016-07-19T22:57:00,Are there any iphone user here using beside my set,80872247,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
Congratulation on your new idevice.,2016-07-19T22:59:00,Are there any iphone user here using beside my set,80872280,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,xzilem,degraw1993,2016-08-11T10:26:00,
Anything happen to your iphone cannot claim from apple malaysia bro..,2016-07-19T23:58:00,Are there any iphone user here using beside my set,80873082,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,komando67,degraw1993,2016-08-11T10:26:00,
Already know bro,2016-07-20T00:13:00,Are there any iphone user here using beside my set,80873228,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
"well anything there is a lot of phone shop can repair , so no problemo",2016-07-20T17:39:00,Are there any iphone user here using beside my set,80884808,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,GamersFamilia,degraw1993,2016-08-11T10:26:00,
are you using oversea set? or my set?,2016-07-20T17:45:00,Are there any iphone user here using beside my set,80884901,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
iphone se sg set,2016-07-20T17:45:00,Are there any iphone user here using beside my set,80884918,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,GamersFamilia,degraw1993,2016-08-11T10:26:00,
i see does that mean you will be claim the warranty at sg in anything happen?,2016-07-20T17:47:00,Are there any iphone user here using beside my set,80884945,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,degraw1993,degraw1993,2016-08-11T10:26:00,
"yes ... since my cousin staying there , so no probs",2016-07-20T17:56:00,Are there any iphone user here using beside my set,80885079,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,GamersFamilia,degraw1993,2016-08-11T10:26:00,
iPhone 6S Plus UK set here,2016-07-22T18:23:00,Are there any iphone user here using beside my set,80920121,2016-07-19T18:17:00,805,https://forum.lowyat.net/topic/4007839,24,4007839,sengkin95,degraw1993,2016-08-11T10:26:00,
